item_id	i_genre_c	i_title_c
2042	33	2664
2046	195	2757
2055	238	2860
2062	275	2975
2070	176	2865
2076	238	2961
2085	286	2941
2093	261	2993
2103	238	3029
2109	292	2978
2116	206	3042
2127	126	3000
2137	238	807
2146	206	1919
2157	159	216
2167	176	38
2176	185	52
2185	245	225
2193	238	347
2203	176	475
2211	37	590
2221	250	593
2232	187	641
2242	176	668
2251	84	673
2260	238	602
2269	160	1007
2279	209	1038
2286	206	1041
2293	238	1314
2300	187	1386
2310	43	1387
2317	251	1455
2327	118	1507
2337	234	3094
2345	152	1637
2352	238	1640
2358	271	3019
2365	180	1770
2376	55	1779
2386	238	1897
2398	176	1962
2409	185	2125
2420	185	2331
2429	295	2339
2440	160	2373
2450	238	2451
2459	92	2380
2469	84	2634
2475	206	2633
2486	86	2843
2497	13	2904
2507	238	3036
2516	243	3087
2524	297	3104
2535	1	228
2553	238	2443
2563	43	1705
2572	238	421
2579	254	608
2587	47	955
2595	216	1473
2606	106	2484
2617	1	2703
2624	1	607
2635	86	1316
2636	238	967
2637	277	1419
2638	238	28
2639	238	34
2641	176	43
2642	238	63
2643	176	72
2644	176	71
2645	212	160
2646	297	229
2647	206	250
2648	238	288
2649	176	313
2651	43	314
2652	106	349
2653	295	369
2654	92	380
2655	238	383
2656	251	387
2657	276	399
2658	283	418
2659	238	462
2660	176	489
2662	216	504
2663	214	577
2664	176	588
2665	16	594
2666	210	624
2667	259	611
2668	43	648
2670	206	716
2671	176	724
2672	86	756
2673	234	881
2674	206	898
2675	176	958
2676	251	949
2677	238	966
2678	176	965
2680	185	3082
2681	248	1003
2682	238	3058
2683	176	1025
2684	259	987
2685	112	1050
2686	238	1060
2687	92	1080
2688	262	1109
2689	1	1116
2691	251	1143
2692	2	1169
2693	224	1219
2694	18	1257
2695	73	1280
2696	54	1348
2697	176	1653
2698	206	886
2699	251	1357
2701	206	1371
2702	185	1394
2703	213	1414
2704	92	1418
2705	238	1420
2706	185	1433
2707	238	3030
2708	1	1500
2710	33	1512
2711	259	1517
2712	295	1540
2713	238	1554
2714	106	1587
2715	43	1588
2716	176	1626
2717	214	1631
2718	238	1710
2719	176	1718
2721	295	1729
2722	238	1738
2723	202	1749
2724	57	1802
2725	92	909
2726	238	1421
2727	187	3026
2728	206	1899
2729	251	1885
2730	206	1891
2733	176	1895
2734	238	1960
2735	41	1989
2736	238	1983
2737	86	2022
2738	176	2029
2739	238	2094
2740	64	2162
2741	238	2180
2742	251	2183
2743	238	2209
2744	64	2271
2745	275	2387
2746	203	2304
2747	176	2344
2748	238	2347
2749	190	2349
2750	66	2377
2751	176	2384
2752	292	2393
2754	176	2389
2755	233	2409
2756	64	2412
2757	238	2427
2758	238	2428
2759	238	2452
2760	261	2471
2761	238	2474
2762	238	2483
2764	167	2486
2765	181	2493
2766	1	2507
2767	251	2508
2768	238	2537
2769	238	2546
2770	185	2554
2771	238	2558
2772	206	2568
2774	295	2575
2775	268	361
2776	176	2609
2777	208	2589
2778	1	2706
2779	8	2724
2780	37	2734
2781	1	2780
2782	234	2812
2784	206	2830
2785	163	2006
2786	9	2826
2787	297	2863
2788	295	2893
2789	61	2905
2790	234	2997
2791	4	2114
2792	238	270
2793	295	1536
2794	185	3018
2795	238	1108
2796	176	541
2797	271	667
2798	238	1535
2799	185	320
2800	160	1638
2802	185	2573
2803	238	3013
2804	238	565
2805	185	2627
2806	160	1647
2807	106	145
2809	238	2260
2810	234	526
2811	185	735
2812	176	427
2813	160	1329
2814	208	1117
2815	146	79
2816	87	2781
2817	130	704
2818	17	260
2819	259	2542
2820	152	2587
2821	152	278
2822	144	2192
2823	206	2249
2824	176	3071
2825	297	3062
2828	295	1699
2829	234	1196
2830	176	486
2831	251	2076
2832	271	498
2833	224	951
2834	106	1335
2836	5	1285
2837	76	1293
2838	176	2119
2839	251	1472
2840	238	435
2841	144	177
2842	238	1011
2843	176	858
2845	238	1938
2846	259	1598
2847	259	2254
2849	152	96
2850	296	1585
2851	176	757
2852	185	937
2853	176	2505
2854	287	1463
2855	176	1130
2857	259	774
2858	238	1975
2859	261	646
2860	27	1847
2861	185	606
2863	238	1857
2864	23	822
2865	176	861
2866	233	2288
2868	152	1471
2869	295	963
2870	176	1534
2871	296	2940
2872	1	378
2873	238	2141
2874	238	165
2875	238	3100
2876	210	1954
2877	98	2624
2878	138	249
2879	259	2599
2881	291	107
2882	215	589
2883	238	1458
2884	15	2088
2886	206	1898
2887	87	2598
2888	1	2713
2889	286	2901
2890	251	968
2893	176	153
2894	238	929
2895	2	2299
2896	176	643
2897	228	1901
2898	206	2908
2899	144	2058
2901	176	527
2902	106	1008
2903	297	727
2904	238	1346
2905	215	2748
2906	210	2980
2907	176	1902
2909	143	2995
2910	234	1266
2911	243	651
2912	176	1205
2913	176	605
2915	286	1282
2916	37	2394
2917	195	529
2918	31	2921
2919	86	248
2921	158	1121
2922	277	2808
2923	176	2644
2924	155	599
2925	264	1033
2926	176	2711
2927	87	183
2928	294	818
2929	176	503
2930	185	1866
2931	106	1157
2932	167	1543
2933	234	1783
2935	296	2650
2936	96	2177
2937	177	2708
2938	251	1284
2939	185	1461
2940	238	1390
2941	238	1190
2942	234	1760
2944	185	2972
2945	238	2886
2946	251	3
2948	90	1425
2949	238	2679
2950	295	938
2951	152	1373
2952	176	490
2953	176	1555
2954	92	888
2955	194	2045
2957	37	720
2958	195	1074
2961	247	1664
2962	160	1261
2963	251	2179
2964	287	2994
2965	206	2529
2966	238	2842
2967	238	113
2968	206	2350
2969	106	81
2970	2	1002
2972	176	316
2973	176	1586
2974	176	2968
2976	238	1523
2977	106	51
2978	200	1492
2980	176	991
2981	238	2693
2982	259	2319
2983	176	1313
2984	238	1043
2985	37	532
2986	160	1775
2987	187	873
2988	92	674
2990	176	1351
2991	271	921
2992	271	2755
2993	238	1009
2994	238	2640
2995	34	891
2997	216	692
2998	238	257
2999	206	2844
3000	238	235
3001	57	1146
3003	176	1784
3004	92	2725
3005	238	1750
3006	176	524
3007	185	3059
3008	222	415
3009	215	1519
3011	176	1165
3012	238	2037
3013	1	2222
3014	238	1134
3015	271	2346
3017	292	1450
3018	160	989
3019	259	2896
3020	168	401
3021	1	474
3022	144	1583
3024	277	1237
3025	187	2913
3026	238	1879
3027	238	3064
3028	141	1027
3029	206	2181
3030	279	2550
3032	279	129
3033	200	1087
3034	251	439
3035	286	2966
3036	286	2332
3037	176	1456
3038	286	1098
3039	201	1101
3040	259	2031
3041	185	166
3042	177	2601
3043	204	537
3044	254	510
3045	265	1731
3046	279	1935
3047	206	2447
3048	206	2406
3049	167	1646
3050	278	1794
3051	113	3086
3053	254	1167
3054	176	1939
3055	264	2722
3056	238	572
3057	249	16
3058	136	1161
3059	238	93
3060	176	3092
3061	288	2333
3062	295	1035
3064	267	2038
3065	283	2636
3066	287	57
3067	208	2853
3068	176	959
3069	200	243
3070	206	2019
3071	206	1700
3072	278	1127
3074	2	53
3075	96	1758
3076	226	1601
3077	251	1119
3078	238	1681
3079	201	2868
3080	190	2852
3081	176	1947
3082	238	1126
3083	238	853
3085	282	2802
3086	176	1319
3087	120	182
3088	238	1459
3089	238	1890
3090	176	455
3091	251	2155
3092	238	2467
3093	202	1578
3094	238	2051
3096	216	149
3097	238	1641
3098	216	2797
3099	278	1438
3100	297	148
3101	295	19
3102	238	2990
3103	297	2109
3104	275	2002
3105	32	59
3107	185	272
3108	238	517
3109	238	1793
3110	251	83
3111	289	950
3112	238	382
3113	238	2184
3114	185	2228
3115	106	1014
3116	251	370
3117	185	1183
3119	37	1782
3120	261	1815
3121	238	334
3122	74	1593
3123	259	520
3124	56	2496
3125	215	12
4	215	686
5	176	860
6	259	916
7	92	1139
8	160	696
9	238	533
10	166	171
11	297	717
12	115	894
14	160	1688
15	107	1301
16	167	2057
17	167	2131
18	161	2224
19	106	1336
20	160	2515
21	106	2746
22	164	2789
23	116	14
25	176	638
26	160	152
27	152	568
28	144	3076
29	152	2820
30	144	2749
31	167	2588
32	238	2390
33	163	1766
34	152	843
36	101	2169
37	117	281
38	152	85
39	144	1042
40	215	1054
41	278	2618
42	92	778
43	87	1604
45	238	2489
46	176	2792
47	251	2855
48	238	2733
49	251	277
50	92	1667
51	2	1120
53	235	1670
54	238	2890
55	216	2028
56	238	1115
57	238	1498
58	201	903
59	238	348
60	251	3068
62	185	2745
63	216	2566
64	238	1494
65	145	80
66	201	2518
67	201	700
68	225	670
69	270	1918
71	108	3070
72	295	1434
73	210	2565
74	213	242
75	176	992
76	176	1868
77	200	2971
78	238	495
79	200	1203
80	216	406
81	126	2056
82	286	775
83	278	1716
84	279	785
85	233	2359
86	261	2200
87	176	3015
88	286	255
89	245	805
90	254	682
91	238	1138
92	238	2615
93	169	848
94	238	559
97	82	722
98	82	2867
99	238	2334
100	238	2704
101	271	552
103	234	1817
104	64	2122
105	176	194
106	238	1084
107	238	2551
108	238	868
109	238	837
111	238	2156
112	234	2159
113	238	2064
114	176	2366
115	192	831
116	34	37
117	271	1019
118	34	892
120	271	1369
121	238	1478
122	238	1751
123	176	2263
124	176	1867
125	234	698
126	234	1636
127	234	3035
128	154	3102
129	238	2364
130	155	962
131	228	1270
132	264	2323
133	264	2750
135	238	2845
136	176	2431
137	238	1835
138	176	736
139	234	114
141	176	394
142	187	569
143	238	634
144	210	754
145	238	810
146	238	876
147	261	2142
148	217	1212
150	176	1273
151	254	885
152	213	1791
153	238	1942
154	238	2504
155	238	2137
156	206	2705
157	234	2801
158	238	2835
159	234	1721
160	234	2134
161	238	2077
162	176	2951
163	21	2670
164	13	2259
165	2	2307
166	291	434
168	88	90
169	95	1173
170	176	3083
171	238	9
172	141	1605
173	40	2887
174	291	597
175	238	2856
176	261	167
177	297	2071
179	30	2671
180	187	3074
181	286	2809
182	216	1174
183	77	86
184	12	181
185	136	324
186	261	2317
187	92	1538
188	277	2276
190	49	392
191	57	1147
192	73	1081
193	154	1186
194	261	1296
195	238	109
196	206	2301
197	224	2070
198	238	2306
200	206	158
201	238	2376
202	284	2651
203	73	393
204	177	2691
205	176	1260
206	185	2907
207	238	2502
208	176	1658
210	87	2782
211	195	429
212	73	1140
213	185	2421
214	187	1748
215	238	1833
216	238	731
217	251	1184
218	228	2876
219	295	2014
221	261	449
222	238	25
223	266	556
224	257	719
225	96	2889
226	195	232
227	213	838
228	176	311
229	271	2534
230	121	2653
232	228	1708
233	11	905
234	141	1198
235	261	752
236	67	791
237	206	1215
238	297	2943
239	270	1747
240	238	2282
241	205	184
242	210	222
243	238	1070
244	261	2145
245	185	814
246	105	78
247	2	1315
248	185	637
249	68	693
250	195	3117
251	185	2003
253	238	2311
254	176	1197
255	152	941
256	297	1311
257	265	336
258	176	1279
259	251	2607
260	19	296
261	186	2814
262	237	1564
264	251	2600
265	2	1428
266	176	290
267	238	1095
268	213	1709
269	238	2935
270	251	2416
271	176	2330
272	246	2191
273	261	1539
275	238	1945
276	291	1031
277	238	973
278	96	1737
279	55	482
280	238	2135
281	257	2946
282	206	3033
283	234	1381
284	238	970
285	176	1395
287	77	91
288	271	127
289	271	132
290	271	131
291	271	374
292	195	173
293	271	199
294	277	291
295	271	345
296	275	371
297	271	396
298	271	398
299	274	430
300	271	445
301	271	479
302	271	497
303	295	500
304	270	499
305	271	508
306	271	515
307	271	2011
308	271	2032
309	271	2033
311	271	2062
312	238	372
313	233	82
314	206	1840
315	238	442
316	277	2013
317	33	2663
318	251	2533
319	259	2572
320	107	1489
322	234	2128
323	238	1097
324	238	2244
325	238	2375
326	238	675
327	160	8
328	92	779
329	33	2666
330	33	2662
331	33	2661
332	33	2667
333	33	2659
334	33	2660
335	10	262
336	55	3118
337	55	3119
338	201	1193
339	201	1194
340	64	1759
341	1	2936
342	75	1475
343	75	1476
344	75	1477
345	176	1940
346	53	1763
347	185	573
348	251	1485
349	176	2314
350	185	2846
351	223	2584
352	238	258
353	289	1411
354	238	1765
357	238	1125
358	216	1995
359	154	279
360	238	694
361	277	2475
362	85	1600
363	206	1814
365	185	899
366	238	1241
367	238	2602
368	238	3055
369	176	1878
370	221	2800
371	245	906
372	238	2236
373	238	2992
374	234	1806
375	234	1191
376	286	1915
377	238	1277
378	176	975
379	295	2911
380	238	146
381	1	1466
382	43	315
383	1	1809
384	238	528
385	92	709
386	176	1795
388	176	134
389	206	300
390	238	2247
391	213	1786
392	176	1563
393	215	1211
394	176	2985
396	296	2262
397	206	273
398	176	2712
399	176	2166
400	206	1021
401	287	2875
402	286	36
404	164	2790
405	176	2963
406	206	2791
407	282	1680
408	238	2423
409	216	803
410	206	410
412	233	579
413	45	306
414	160	1509
415	287	1518
416	185	2264
417	287	1691
418	84	2453
420	71	2580
421	185	2960
422	259	652
423	282	723
424	176	1618
425	245	2490
426	72	773
427	152	519
429	287	1698
430	251	155
431	1	811
432	251	1443
433	37	135
436	177	1214
437	287	1559
438	176	27
439	238	1325
440	261	2129
441	238	2888
442	238	97
444	176	30
445	176	2413
446	259	2981
447	176	554
448	176	201
449	92	436
451	61	2909
452	7	3001
453	176	961
454	86	976
455	238	2041
457	238	1676
458	238	2273
459	251	1701
460	176	2519
462	206	45
463	187	432
464	34	1683
465	238	2229
466	176	2472
467	167	2532
468	251	2424
470	206	2892
471	112	467
472	37	621
473	251	2189
474	84	2635
476	16	259
477	238	824
478	206	2419
479	212	1271
480	99	1302
481	206	1927
483	291	2785
484	206	3037
485	238	630
486	87	928
487	238	1092
489	14	1801
490	176	2105
491	106	3060
492	170	2547
493	257	629
494	176	1693
495	73	1091
496	2	622
497	160	1106
498	219	639
500	80	900
501	34	2629
502	160	68
503	206	2187
504	238	1416
505	238	502
506	79	628
507	224	762
508	1	2683
511	251	2528
512	217	1340
513	292	1834
514	43	1861
515	136	908
516	2	1569
517	92	70
518	238	11
520	92	1375
521	238	1950
522	176	1556
523	238	2658
524	176	1409
525	140	863
526	93	2149
527	227	1572
528	261	2501
530	224	1558
531	238	2616
532	271	3081
533	238	2817
534	286	1094
535	71	982
536	59	2929
537	206	1773
539	295	193
540	238	2933
541	238	1398
542	251	542
544	176	1364
545	176	1082
546	185	1426
547	251	1893
548	273	1385
549	230	771
550	176	2395
551	233	2203
552	189	1356
553	234	954
555	238	3002
556	238	2777
557	258	1100
558	168	932
559	271	2178
560	287	2742
561	234	3095
562	288	1623
564	238	897
565	295	2747
566	215	1096
567	176	2707
568	176	269
569	287	1372
570	64	1712
571	238	2079
572	287	2763
573	261	3017
574	215	744
575	238	2310
576	238	407
577	253	3085
578	36	2676
579	176	664
580	238	1497
582	251	2571
583	2	1875
584	238	2906
585	253	3075
586	287	1894
587	233	2336
588	92	1464
589	152	137
590	202	1734
592	76	89
593	275	87
594	238	130
595	238	169
596	238	186
597	261	301
598	238	483
601	185	747
602	162	1012
603	176	1026
604	238	1172
605	160	1331
607	179	1821
608	160	1880
609	295	2053
610	277	2476
611	238	2739
613	251	2850
614	84	2866
615	238	864
616	238	2240
617	238	1345
618	238	3078
619	216	1465
621	238	1570
622	176	1886
623	182	332
624	251	61
625	185	1946
626	251	1199
628	234	176
629	37	986
630	176	2492
631	185	2984
632	269	711
633	287	1606
635	116	2656
636	92	1256
637	176	1230
638	81	934
639	287	2535
640	271	2274
641	238	706
642	238	1039
644	200	2638
645	76	751
646	251	1922
647	92	2351
649	288	210
650	271	1996
651	49	391
652	206	3014
653	139	2637
655	234	209
656	266	2121
657	185	188
658	56	1553
659	64	1800
660	216	2917
661	92	2931
662	185	1697
663	234	902
664	295	1379
665	216	2718
668	68	1742
669	216	1986
670	220	3065
671	107	2146
672	238	636
673	178	1243
675	238	2255
676	238	1992
677	161	3057
678	238	2251
679	185	2923
681	206	2046
682	212	1334
683	64	2201
684	184	335
685	251	557
687	87	1684
688	71	1804
689	259	2626
690	287	578
691	238	1589
692	176	2048
693	176	1941
695	238	1269
696	259	1129
697	238	1652
698	212	3124
699	238	2015
700	108	412
702	206	1560
703	176	1566
704	236	1571
705	176	2329
706	43	1888
707	238	2770
709	238	536
710	275	2632
711	176	1725
712	234	3063
713	43	330
714	2	2768
715	92	352
717	185	703
718	238	1851
719	206	2689
720	176	596
721	70	750
722	238	1247
724	238	1602
725	100	2297
726	86	1152
727	176	476
728	185	964
729	185	2090
730	120	106
731	187	1344
732	295	1436
734	286	2160
735	238	318
736	123	2557
737	187	493
738	176	647
739	251	1309
740	261	1584
741	126	2138
744	238	547
745	251	825
746	185	1295
747	206	1884
748	144	1900
749	285	3105
751	44	1392
752	176	794
753	61	2103
754	247	2185
755	185	2582
756	47	470
757	34	179
758	45	1617
759	160	1719
760	151	2577
761	292	2182
762	238	3031
763	176	2796
764	275	2198
765	254	3073
766	278	457
767	296	98
768	297	567
769	238	1187
771	96	1925
772	278	1206
773	238	1625
774	176	3114
775	238	1361
776	261	1896
777	176	1156
778	238	1682
779	261	307
781	238	1105
782	238	1238
783	238	100
784	238	1207
785	254	1076
786	216	2069
787	251	1764
788	279	3021
789	176	2861
790	238	1740
792	247	1417
793	278	2059
794	238	1818
795	58	1055
796	64	2398
797	238	1565
798	238	2091
799	238	538
800	185	2783
801	251	2102
803	261	1592
804	238	2309
805	238	830
806	176	2751
807	247	1561
808	210	2353
809	176	1812
810	115	1574
811	185	438
812	271	2010
814	271	2007
815	271	2008
816	271	2009
817	271	1048
818	271	1062
819	271	1063
820	271	1064
821	271	1069
822	271	1065
823	271	1066
825	271	1067
826	271	1068
827	271	1231
828	271	1234
829	271	1235
830	271	1232
831	271	1233
832	271	2272
833	271	1290
835	271	544
836	271	545
837	271	546
838	277	2225
839	277	2226
840	277	2227
841	271	913
842	271	911
843	271	912
846	45	1614
847	45	1615
848	45	1616
849	195	1209
850	195	1210
851	115	1178
852	29	1769
853	176	2223
854	292	2622
856	291	1811
857	210	223
858	211	224
859	2	2237
860	160	1047
861	162	35
862	166	170
863	171	214
864	144	240
865	64	2500
867	251	707
868	263	844
869	238	1599
870	57	1148
871	247	2320
872	251	1663
873	277	790
874	177	1722
875	73	2465
876	206	341
878	160	1
879	160	251
880	144	351
881	291	353
882	160	358
883	160	364
884	107	496
885	165	516
887	160	620
888	6	623
889	160	695
890	115	710
891	176	769
892	114	946
893	119	1006
894	159	1141
895	144	1201
896	200	1249
898	107	1299
899	107	1300
900	160	1322
901	165	1337
902	110	1338
903	214	1347
904	106	1412
905	106	1422
906	92	1973
907	167	2132
909	176	211
910	251	1181
911	184	2404
912	187	2289
913	264	2104
914	254	795
915	238	940
916	238	2897
918	238	2778
919	238	143
920	176	4
921	176	939
922	238	1997
923	261	1803
924	247	389
925	106	1496
926	146	1506
927	167	1532
929	147	1577
930	147	1642
931	160	1825
932	174	1910
933	174	1985
934	144	7
935	239	2078
936	150	2170
937	122	2231
938	144	2357
940	144	2358
941	175	2362
942	152	2363
943	116	2369
944	33	2396
945	160	2514
946	152	2567
947	173	2604
948	160	2611
949	101	2614
952	193	2641
953	126	2646
954	146	2682
955	106	2759
956	238	2786
957	24	2898
958	261	2744
959	277	1236
960	206	1573
961	176	1483
963	183	730
964	176	1744
965	216	1185
966	277	1192
967	238	2112
968	2	1429
969	102	1673
970	257	2018
971	277	734
972	271	1781
973	243	1972
974	277	684
975	277	550
976	144	95
977	176	44
978	251	901
979	60	2583
980	176	2450
981	234	2454
983	221	197
984	238	203
985	238	3051
986	120	47
987	176	3016
988	134	793
989	176	2044
990	144	540
991	149	3005
992	144	2487
994	172	713
995	145	125
996	145	126
997	132	1610
998	176	2560
999	187	2250
1000	251	2647
1001	238	583
1002	195	1350
1003	195	1352
1005	176	1150
1006	176	1149
1007	160	69
1008	2	206
1009	251	1363
1010	176	2576
1011	185	305
1012	287	534
1013	229	1298
1014	229	1297
1016	277	2420
1017	115	1982
1018	115	1980
1019	195	198
1020	238	3122
1021	251	2370
1022	25	360
1023	251	701
1024	176	729
1026	43	3103
1027	187	1990
1028	133	1970
1029	192	284
1030	251	847
1031	295	2418
1032	212	936
1033	295	1058
1034	295	2869
1036	295	2872
1037	295	1761
1038	242	3101
1039	295	1736
1040	286	2900
1041	295	1383
1042	270	2701
1043	286	2648
1044	238	23
1045	143	1388
1047	238	3056
1048	23	3069
1049	57	2947
1050	176	787
1051	238	984
1053	238	2127
1054	260	1627
1055	270	2506
1056	295	2446
1057	176	1881
1058	286	2735
1059	204	1576
1060	295	2445
1061	295	2485
1062	295	1735
1063	206	2371
1064	286	1917
1066	295	359
1067	295	1660
1069	216	2426
1070	292	683
1071	238	2544
1072	238	3084
1073	185	2498
1074	185	2741
1076	238	1929
1077	176	585
1078	187	456
1079	185	3098
1080	176	1762
1081	187	2466
1082	176	1928
1084	238	1799
1085	185	1304
1086	48	2884
1087	176	3116
1088	275	2130
1089	206	2024
1090	206	363
1091	56	3079
1092	176	2074
1093	187	33
1094	295	2503
1095	238	3012
1096	120	2035
1097	206	484
1098	286	1876
1099	216	972
1100	238	1424
1102	238	2164
1103	238	2081
1104	92	2440
1105	33	2559
1106	238	2596
1107	63	2414
1108	277	2952
1109	215	587
1110	215	1869
1111	185	2150
1112	238	2531
1113	238	244
1114	238	1404
1115	176	974
1116	293	2794
1117	77	2805
1118	185	2202
1120	185	2672
1121	251	865
1122	238	2509
1123	144	162
1124	176	1408
1125	176	1999
1126	251	3024
1129	200	2269
1130	176	1320
1131	176	1932
1132	245	1965
1133	238	1690
1134	238	2563
1135	176	1327
1136	64	2080
1138	238	1829
1139	284	17
1140	238	549
1141	238	870
1142	238	295
1143	277	444
1144	251	2242
1145	176	1250
1147	259	174
1148	176	2205
1149	35	2595
1150	234	677
1151	185	1622
1152	176	2092
1153	271	2756
1154	271	2959
1155	238	118
1157	234	1245
1158	206	1655
1159	238	1151
1160	92	2541
1161	176	3004
1162	238	871
1163	238	2964
1164	273	1391
1165	206	1393
1167	287	1792
1168	238	705
1169	176	1254
1170	22	2437
1171	238	759
1172	292	2685
1173	1	2230
1174	238	2540
1175	212	1859
1177	238	2012
1178	185	326
1179	92	884
1180	145	2429
1181	145	472
1182	176	523
1183	238	531
1184	176	2987
1186	238	522
1187	176	2190
1188	238	1137
1189	86	1153
1190	86	1154
1191	86	1547
1192	25	1545
1193	25	1546
1194	206	763
1196	19	872
1197	176	1004
1198	176	1005
1199	2	2340
1200	185	1223
1201	176	1860
1202	1	2973
1203	275	1628
1204	176	2216
1205	176	2217
1207	176	2218
1208	176	2219
1209	176	2220
1210	176	2221
1211	160	213
1212	206	1332
1213	238	1486
1214	177	2967
1215	251	2681
1216	231	2277
1218	176	1650
1219	233	2545
1220	185	1462
1221	86	2665
1222	156	2256
1223	176	2441
1224	206	2517
1225	238	1772
1226	238	1838
1227	115	2458
1230	167	2243
1231	297	2118
1232	94	2316
1233	1	988
1234	94	2315
1235	13	1488
1236	13	2408
1237	210	603
1238	210	604
1239	64	2400
1241	64	2401
1242	64	2402
1243	64	2403
1244	202	600
1245	27	3121
1246	251	2976
1247	176	221
1248	185	1276
1249	176	2036
1250	259	917
1252	238	1522
1253	19	1521
1254	19	1520
1255	176	561
1256	206	3115
1257	215	1104
1258	187	2795
1259	73	2803
1260	275	930
1261	112	1827
1262	112	1826
1263	185	2140
1264	238	2686
1265	238	582
1266	238	815
1267	238	1377
1268	176	2772
1269	238	3067
1270	238	58
1271	238	159
1272	262	1305
1273	238	1318
1274	251	2204
1275	238	196
1276	295	1410
1277	185	2962
1278	275	2979
1279	119	1367
1280	271	1099
1281	239	419
1282	275	1016
1283	275	1017
1284	275	1015
1285	43	2439
1286	177	180
1287	271	2788
1289	271	2787
1290	271	1608
1291	271	2367
1292	176	2442
1293	238	292
1294	282	1964
1295	51	1505
1296	206	2153
1298	120	665
1299	120	666
1300	176	2877
